id,data,cliente_id,tipo,valor,descricao,categoria
1,2026-01-05,CLI001,credito,3500.00,Salário janeiro,salario
2,2026-01-12,CLI002,debito,180.50,Supermercado,compra
3,2026-01-20,CLI001,debito,abc,Erro de sistema,compra
4,2026-02-03,,debito,200.00,Sem cliente,transferencia
5,2026-02-14,CLI003,credito,15000.00,Transferência suspeita,transferencia
6,2026-02-18,CLI002,debito,320.00,Conta de luz,conta
7,2026-03-01,CLI001,credito,3500.00,Salário março,salario
8,2026-03-10,CLI003,debito,99.90,Streaming,assinatura
9,2026-01-25,CLI004,credito,2800.00,Salário janeiro,salario
10,2026-01-28,CLI004,debito,450.00,Aluguel,conta
11,2026-02-05,CLI001,credito,3500.00,Salário fevereiro,salario
12,2026-02-20,CLI004,debito,650.00,Passagem aérea,compra
13,2026-02-25,CLI002,credito,12500.00,Transferência recebida,transferencia
14,2026-03-08,CLI001,debito,230.00,Farmácia,compra
15,2026-03-15,CLI002,credito,4200.00,Freelance março,salario
16,2026-03-22,CLI004,debito,980.00,Manutenção carro,compra
17,2026-03-28,CLI003,credito,3800.00,Salário março,salario
18,2026-01-30,CLI002,credito,5500.00,Bônus janeiro,salario
19,2026-02-10,CLI003,debito,175.00,Academia,assinatura
20,2026-03-05,CLI001,debito,1200.00,Notebook parcelado,compra
21,2026-04-02,CLI001,credito,3500.00,Salário abril,salario
22,2026-04-10,CLI004,credito,18000.00,Venda de imóvel,transferencia
23,2026-04-15,CLI002,debito,890.00,Supermercado abril,compra
24,2026-04-20,CLI003,debito,340.00,Conta de água e luz,conta
25,2026-04-25,CLI001,debito,560.00,Seguro carro,conta
26,,CLI002,credito,300.00,Data inválida,compra
27,2026-03-30,CLI005,debito,-50.00,Valor negativo inválido,compra
28,2026-04-05,CLI004,debito,0,Valor zero inválido,compra
29,99-13-2026,CLI003,credito,500.00,Data mal formatada,salario
30,2026-04-30,CLI002,debito,275.00,Internet e telefone,conta
